,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hombres, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age x,n,nDx,nDxi,,,,nqx,,e0,,nqx_i,,ndx_i,,L,T,e0_i,diff,,,,,,,,,,,,,,
,0,1,726,1,1.00,"100,000",0.9872,0.0128,0.08,73.46,0.9872,0.0128,"100,000",1282.217,0.080,"98,820","7,448,887",74.49,1.03,,,,,,,,,,,,,,
,1,4,154,2,0.99,"98,716",0.9976,0.0024,1.61,73.42,0.9976,0.0024,"98,718",236.833,1.610,"394,305","7,350,066",74.46,1.04,,"Número de años que se espera 
que viva un hombre de 0 años 
hasta llegar a los 85 años.",,,,,,,,,,,,
,5,5,83,2,0.98,"98,476",0.9988,0.0012,2.5,69.59,0.9988,0.0012,"98,481",115.772,2.500,"492,115","6,955,761",70.63,1.04,,,,,,,,,,,,,,
,10,5,106,7,0.93,"98,357",0.9985,0.0015,2.5,64.67,0.9986,0.0014,"98,365",139.075,2.9095,"491,535","6,463,646",65.71,1.04,,,,,,,,,,,,,,
,15,5,363,85,0.77,"98,208",0.9948,0.0052,2.5,59.77,0.9960,0.0040,"98,226",389.144,2.7930,"490,272","5,972,111",60.80,1.03,,Sin COVID,Con COVID,,,,,,,,,,,
,20,5,615,194,0.68,"97,701",0.9898,0.0102,2.5,55.06,0.9930,0.0070,"97,837",686.359,2.6803,"487,593","5,481,839",56.03,0.97,,#ERROR!,71.98,,,,,,,,,,,
,25,5,781,219,0.72,"96,702",0.9860,0.0140,2.5,50.61,0.9899,0.0101,"97,151",983.129,2.5840,"483,378","4,994,246",51.41,0.80,,Diff,#ERROR!,,,,,,,,,,,
,30,5,794,194,0.76,"95,346",0.9851,0.0149,2.5,46.29,0.9887,0.0113,"96,167",1082.848,2.5670,"478,203","4,510,869",46.91,0.62,,,,,,,,,,,,,,
,35,5,902,165,0.82,"93,928",0.9829,0.0171,2.5,41.95,0.9860,0.0140,"95,085",1331.530,2.5988,"472,226","4,032,666",42.41,0.46,,,,,,,,,,,,,,
,40,5,"1,059",139,0.87,"92,320",0.9790,0.0210,2.5,37.64,0.9817,0.0183,"93,753",1714.076,2.6230,"464,691","3,560,440",37.98,0.34,,,,,,,,,,,,,,
,45,5,"1,346",113,0.92,"90,380",0.9722,0.0278,2.5,33.39,0.9745,0.0255,"92,039",2343.168,2.6387,"454,662","3,095,749",33.64,0.25,,,,,,,,,,,,,,
,50,5,"1,748",79,0.96,"87,871",0.9618,0.0382,2.5,29.28,0.9635,0.0365,"89,696",3274.238,2.6473,"440,776","2,641,087",29.44,0.16,,,,,,,,,,,,,,
,55,5,"2,144",46,0.98,"84,515",0.9449,0.0551,2.5,25.34,0.9461,0.0539,"86,422",4658.173,2.6310,"421,073","2,200,311",25.46,0.12,,,,,,,,,,,,,,
,60,5,"2,553",37,0.99,"79,863",0.9230,0.0770,2.5,21.67,0.9241,0.0759,"81,763",6204.400,2.5947,"393,894","1,779,238",21.76,0.09,,,,,,,,,,,,,,
,65,5,"2,678",22,0.99,"73,717",0.9002,0.0998,2.5,18.27,0.9010,0.0990,"75,559",7478.890,2.5954,"359,812","1,385,344",18.33,0.06,,,,,,,,,,,,,,
,70,5,"2,880",18,0.99,"66,362",0.8577,0.1423,2.5,15.02,0.8586,0.1414,"68,080",9629.462,2.6025,"317,314","1,025,533",15.06,0.04,,,,,,,,,,,,,,
,75,5,"3,150",7,1.00,"56,920",0.7906,0.2094,2.5,12.09,0.7910,0.2090,"58,451",12215.972,2.5832,"262,729","708,219",12.12,0.03,,,,,,,,,,,,,,
,80,5,"3,125",3,1.00,"45,002",0.6860,0.3140,2.5,9.63,0.6863,0.3137,"46,235",14506.079,2.500,"194,914","445,489",9.64,0.01,,,,,,,,,,,,,,
,85,5,"4,562",4,1.00,"30,873",0.0000,1.0000,NA,7.90,0.0000,1.0000,"31,729",31728.633,7.9062,250575.59,"250,576",7.90,0.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mujeres, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age x,n,nDx,nDxi,,,,nqx,,e0,,nqx_i,,ndx_i,,L,T,e0_i,diff,,,,,,,Hombres,Mujeres,,,,,,
,0,1,611,1,1.00,"100,000",0.9890,0.0110,0.08,79.11,0.9890,0.0110,"100,000",1103.588,0.080,"98,985","7,928,350",79.28,0.17,,,,,,Sin homicidios,74.49,79.28,,,,,,
,1,4,122,1,1.00,"98,895",0.9980,0.0020,1.51,78.99,0.9980,0.0020,"98,896",194.407,1.510,"395,102","7,829,365",79.17,0.18,,"Número de años que se espera 
que viva una mujer de 0 años 
hasta llegar a los 85 años.",,,,Con homicidios,73.46,79.11,,,,,,
,5,5,79,2,0.98,"98,700",0.9988,0.0012,2.5,75.15,0.9989,0.0011,"98,702",112.565,2.500,"493,229","7,434,264",75.32,0.17,,,,,,,1.03,0.17,,,,,,
,10,5,80,3,0.97,"98,585",0.9988,0.0012,2.5,70.23,0.9989,0.0011,"98,589",112.310,2.6224,"492,680","6,941,035",70.40,0.17,,,,,,,,,,,,,,
,15,5,137,12,0.92,"98,470",0.9980,0.0020,2.5,65.31,0.9982,0.0018,"98,477",178.537,2.6569,"491,967","6,448,355",65.48,0.17,,Sin COVID,Con COVID,,,,,,,,,,,
,20,5,178,21,0.88,"98,275",0.9972,0.0028,2.5,60.43,0.9975,0.0025,"98,299",246.793,2.6112,"490,903","5,956,388",60.59,0.16,,#ERROR!,75.85,,,,,,,,,,,0
,25,5,226,27,0.88,"97,995",0.9964,0.0036,2.5,55.60,0.9968,0.0032,"98,052",310.275,2.6325,"489,524","5,465,484",55.74,0.14,,Diff,#ERROR!,,,,,,,,,,,
,30,5,300,20,0.93,"97,643",0.9951,0.0049,2.5,50.79,0.9955,0.0045,"97,742",444.164,2.6314,"487,656","4,975,960",50.91,0.12,,,,,,,,,,,,,,
,35,5,384,17,0.96,"97,167",0.9936,0.0064,2.5,46.03,0.9939,0.0061,"97,297",590.453,2.6523,"485,101","4,488,304",46.13,0.10,,,,,,,,,,,,,,
,40,5,545,18,0.97,"96,550",0.9906,0.0094,2.5,41.31,0.9909,0.0091,"96,707",875.911,2.6975,"481,518","4,003,204",41.40,0.09,,,,,,,,,,,,,,
,45,5,823,9,0.99,"95,646",0.9850,0.0150,2.5,36.67,0.9852,0.0148,"95,831",1420.909,2.6599,"475,830","3,521,686",36.75,0.08,,,,,,,,,,,,,,
,50,5,"1,087",8,0.99,"94,213",0.9790,0.0210,2.5,32.19,0.9792,0.0208,"94,410",1966.421,2.6919,"467,512","3,045,856",32.26,0.07,,,,,,,,,,,,,,
