"year","sex","age","deaths"
1990,"male",0,2195.17165132011
1990,"male",1,910.442533138041
1990,"male",5,307.881782702703
1990,"male",10,255.510590098652
1990,"male",15,476.593035167983
1990,"male",20,595.882226889221
1990,"male",25,669.793971759607
1990,"male",30,688.610791998152
1990,"male",35,755.394922759909
1990,"male",40,720.124245928675
1990,"male",45,806.724466501008
1990,"male",50,899.677067063271
1990,"male",55,1037.61665890972
1990,"male",60,1121.03613984638
1990,"male",65,1188.96359724782
1990,"male",70,1055.525036428
1990,"male",75,1135.06422871562
1990,"male",80,1051.9214099905
1990,"male",85,1679.89243279544
1991,"male",0,1809.72008973568
1991,"male",1,560.409946577718
1991,"male",5,237.640229670379
1991,"male",10,259.441337202465
1991,"male",15,442.051105191933
1991,"male",20,610.211776187498
1991,"male",25,645.455030587766
1991,"male",30,724.924108737919
1991,"male",35,772.030784200628
1991,"male",40,728.699662806972
1991,"male",45,853.564726881149
1991,"male",50,912.952199546253
1991,"male",55,1003.37827919332
1991,"male",60,1096.69351543918
1991,"male",65,1149.488639921
1991,"male",70,1192.78424878438
1991,"male",75,1069.89964701501
1991,"male",80,1031.6044544739
1991,"male",85,1758.86424397023
1992,"male",0,1578.98221598678
1992,"male",1,415.531951620803
1992,"male",5,157.337340904964
1992,"male",10,214.825984697163
1992,"male",15,403.429079243498
1992,"male",20,562.78356554468
1992,"male",25,580.664319538527
1992,"male",30,698.94087978936
1992,"male",35,702.975170581795
1992,"male",40,730.879015229471
1992,"male",45,825.012467052954
1992,"male",50,903.681137505436
1992,"male",55,1005.54698001442
1992,"male",60,1161.87574822127
1992,"male",65,1166.91861171182
1992,"male",70,1186.08149297588
1992,"male",75,1125.56713108936
1992,"male",80,1160.86717552317
1992,"male",85,1673.22210616241
1993,"male",0,1502.26180306905
1993,"male",1,419.586853234959
1993,"male",5,186.147644720545
1993,"male",10,167.029778506003
1993,"male",15,369.937281274152
1993,"male",20,517.188591277623
1993,"male",25,633.90819553483
1993,"male",30,639.945416444685
1993,"male",35,745.596782367157
1993,"male",40,737.54715448735
1993,"male",45,802.950381010784
1993,"male",50,912.62656087316
1993,"male",55,1059.53226967964
1993,"male",60,1169.20844954202
1993,"male",65,1156.12780423733
1993,"male",70,1304.57991525146
1993,"male",75,1029.34616513037
1993,"male",80,1100.78661256366
1993,"male",85,1673.31639551496
1994,"male",0,1440.6167087936
1994,"male",1,402.807334834369
1994,"male",5,163.545835195909
1994,"male",10,169.603088351313
1994,"male",15,377.568780020185
1994,"male",20,543.133699601229
1994,"male",25,575.439049763384
1994,"male",30,593.610809229596
1994,"male",35,815.710091594411
1994,"male",40,735.956258381592
1994,"male",45,787.442910202526
1994,"male",50,986.322722138292
1994,"male",55,1026.70440984099
1994,"male",60,1209.43154669567
1994,"male",65,1233.66055931729
1994,"male",70,1300.29034402674
1994,"male",75,1128.66817129029
1994,"male",80,1191.25978722946
1994,"male",85,1755.59387287461
1995,"male",0,1495.12507127578
1995,"male",1,439.445544597948
1995,"male",5,151.532946413085
1995,"male",10,195.982610694257
1995,"male",15,350.546216035604
1995,"male",20,543.4981678016
1995,"male",25,573.804757084217
1995,"male",30,631.387276721189
1995,"male",35,764.736269564705
1995,"male",40,813.226812416892
1995,"male",45,809.831217684669
1995,"male",50,918.289655263298
1995,"male",55,1084.97589631769
1995,"male",60,1254.26244833967
1995,"male",65,1310.8012715128
1995,"male",70,1368.84761593154
1995,"male",75,1274.89718915543
1995,"male",80,1194.07961773511
1995,"male",85,1925.47863908894
1996,"male",0,1518.73950608187
1996,"male",1,453.634859000285
1996,"male",5,182.462021064559
1996,"male",10,169.357014026773
1996,"male",15,375.004816773569
1996,"male",20,537.305288549226
1996,"male",25,601.822246273711
1996,"male",30,687.508830751542
1996,"male",35,751.017711011582
1996,"male",40,700.613837789328
1996,"male",45,890.132401105003
1996,"male",50,907.269718000569
1996,"male",55,1087.71558413624
1996,"male",60,1245.98374605411
1996,"male",65,1355.38701194467
1996,"male",70,1393.1630558631
1996,"male",75,1409.29229529422
1996,"male",80,1212.71718972743
1996,"male",85,2199.06555573924
1997,"male",0,1342.13104537985
1997,"male",1,349.009988830146
1997,"male",5,164.418000518248
1997,"male",10,182.574589532533
1997,"male",15,350.018688219829
1997,"male",20,526.541081414267
1997,"male",25,610.263130757914
1997,"male",30,668.767695359499
1997,"male",35,770.646333717432
1997,"male",40,806.959511746002
1997,"male",45,847.307487333302
1997,"male",50,1010.71678846187
